filename,weather,style
image_01artistic_rainy.png,rainy,artistic
image_02artistic_rainy.png,rainy,artistic
image_03artistic_rainy.png,rainy,artistic
image_04artistic_rainy.png,rainy,artistic
image_05artistic_rainy.png,rainy,artistic
image_06artistic_rainy.png,rainy,artistic
image_07artistic_rainy.png,rainy,artistic
image_08artistic_rainy.png,rainy,artistic
image_09artistic_rainy.png,rainy,artistic
image_10artistic_rainy.png,rainy,artistic
image_11artistic_rainy.png,rainy,artistic
image_12artistic_rainy.png,rainy,artistic
image_13artistic_rainy.png,rainy,artistic
image_14artistic_rainy.png,rainy,artistic
image_15artistic_rainy.png,rainy,artistic
image_17artistic_rainy.png,rainy,artistic
image_18artistic_rainy.png,rainy,artistic
image_20artistic_rainy.png,rainy,artistic
image_22artistic_rainy.png,rainy,artistic
image_23artistic_rainy.png,rainy,artistic
image_24artistic_rainy.png,rainy,artistic
image_27artistic_rainy.png,rainy,artistic
image_28artistic_rainy.png,rainy,artistic
image_29artistic_rainy.png,rainy,artistic
image_30artistic_rainy.png,rainy,artistic
image_31artistic_rainy.png,rainy,artistic
image_32artistic_rainy.png,rainy,artistic
image_33artistic_rainy.png,rainy,artistic
image_35artistic_rainy.png,rainy,artistic
image_36artistic_rainy.png,rainy,artistic
image_37artistic_rainy.png,rainy,artistic
image_38artistic_rainy.png,rainy,artistic
image_39artistic_rainy.png,rainy,artistic
image_40artistic_rainy.png,rainy,artistic
image_42artistic_rainy.png,rainy,artistic
image_43artistic_rainy.png,rainy,artistic
image_44artistic_rainy.png,rainy,artistic
image_45artistic_rainy.png,rainy,artistic
image_46artistic_rainy.png,rainy,artistic
image_47artistic_rainy.png,rainy,artistic
image_50artistic_rainy.png,rainy,artistic
image_02artistic_sunny.png,sunny,artistic
image_03artistic_sunny.png,sunny,artistic
image_04artistic_sunny.png,sunny,artistic
image_06artistic_sunny.png,sunny,artistic
image_07artistic_sunny.png,sunny,artistic
image_08artistic_sunny.png,sunny,artistic
image_09artistic_sunny.png,sunny,artistic
image_10artistic_sunny.png,sunny,artistic
image_11artistic_sunny.png,sunny,artistic
image_12artistic_sunny.png,sunny,artistic
image_13artistic_sunny.png,sunny,artistic
image_17artistic_sunny.png,sunny,artistic
image_18artistic_sunny.png,sunny,artistic
image_19artistic_sunny.png,sunny,artistic
image_20artistic_sunny.png,sunny,artistic
image_21artistic_sunny.png,sunny,artistic
image_22artistic_sunny.png,sunny,artistic
image_23artistic_sunny.png,sunny,artistic
image_24artistic_sunny.png,sunny,artistic
image_25artistic_sunny.png,sunny,artistic
image_26artistic_sunny.png,sunny,artistic
image_28artistic_sunny.png,sunny,artistic
image_29artistic_sunny.png,sunny,artistic
image_31artistic_sunny.png,sunny,artistic
image_32artistic_sunny.png,sunny,artistic
image_33artistic_sunny.png,sunny,artistic
image_35artistic_sunny.png,sunny,artistic
image_38artistic_sunny.png,sunny,artistic
image_40artistic_sunny.png,sunny,artistic
image_41artistic_sunny.png,sunny,artistic
image_42artistic_sunny.png,sunny,artistic
image_43artistic_sunny.png,sunny,artistic
image_46artistic_sunny.png,sunny,artistic
image_47artistic_sunny.png,sunny,artistic
image_48artistic_sunny.png,sunny,artistic
image_49artistic_sunny.png,sunny,artistic
image_50artistic_sunny.png,sunny,artistic
image_01realistic_rainy.png,rainy,realistic
image_02realistic_rainy.png,rainy,realistic
image_03realistic_rainy.png,rainy,realistic
image_04realistic_rainy.png,rainy,realistic
image_05realistic_rainy.png,rainy,realistic
image_06realistic_rainy.png,rainy,realistic
image_07realistic_rainy.png,rainy,realistic
